symbol,date,close,open,high,low,volume
AU.NH,20110317,1373.6583,1368.8287,1373.6583,1368.8287,9564
AU.NH,20110316,1378.3951,1375.2837,1379.6954,1372.4974,15434
AU.NH,20110315,1390.2834,1399.9891,1399.9891,1385.5466,17572
AU.NH,20110314,1399.0139,1405.2367,1407.0478,1394.1378,14530
AU.NH,20110311,1389.076,1392.6518,1396.3669,1388.7509,18344
AU.NH,20110310,1407.8837,1401.0572,1408.5338,1400.082,14552
AU.NH,20110309,1401.4287,1400.407,1403.8435,1397.1099,9596
AU.NH,20110308,1402.0788,1406.3048,1408.5803,1399.5247,18240
AU.NH,20110307,1413.2706,1407.5586,1414.2458,1406.4441,14168
AU.NH,20110304,1393.1162,1397.7136,1398.3173,1392.2338,11102
AU.NH,20110303,1400.6392,1411.7381,1413.6885,1398.178,17624
AU.NH,20110302,1409.7877,1415.5925,1416.2427,1408.7196,17998
AU.NH,20110301,1402.4504,1394.5558,1402.9147,1390.8407,15866
AU.NH,20110228,1399.1068,1401.0572,1401.986,1395.531,11032
AU.NH,20110225,1391.3515,1391.3051,1392.9768,1320.2538,11764
AU.NH,20110224,1398.7353,1407.0478,1407.0942,1393.627,16598
AU.NH,20110223,1391.7694,1384.9429,1392.0016,1384.3392,9716
AU.NH,20110222,1390.8407,1400.3142,1402.9612,1388.0543,25100
AU.NH,20110221,1389.7726,1387.5435,1391.3515,1387.0327,10700
AU.NH,20110218,1381.1814,1379.3239,1382.8068,1379.3239,9852
AU.NH,20110217,1374.8657,1372.4974,1376.3982,1372.4045,9456
AU.NH,20110216,1374.0298,1368.9216,1374.4942,1368.9216,10080
AU.NH,20110215,1363.3954,1364.2777,1367.5284,1362.1415,9246
AU.NH,20110214,1360.6555,1356.0116,1361.1199,1355.6865,7868
AU.NH,20110211,1362.1415,1362.9774,1366.1352,1360.3304,10732
AU.NH,20110210,1359.2623,1359.0766,1361.3521,1358.6122,7578
AU.NH,20110209,1360.4697,1364.835,1367.7142,1359.7267,16200
AU.NH,20110201,1344.9127,1341.662,1344.9127,1340.176,14206
AU.NH,20110131,1339.0615,1346.3988,1346.5845,1337.1575,14964
AU.NH,20110128,1322.2506,1316.5387,1322.2506,1315.517,17348
AU.NH,20110127,1348.6278,1349.0922,1353.086,1347.1882,12346
AU.NH,20110126,1341.8478,1338.5971,1382.6674,1338.0398,16800
AU.NH,20110125,1336.2751,1338.7364,1338.8293,1334.2783,13842
AU.NH,20110124,1354.154,1350.1603,1357.7763,1349.5102,15496
AU.NH,20110121,1347.6526,1341.2905,1348.3492,1341.2905,17638
AU.NH,20110120,1362.0486,1367.0176,1367.5748,1361.9558,13838
AU.NH,20110119,1373.937,1372.033,1374.8657,1370.4076,11854
AU.NH,20110118,1366.8318,1362.7452,1368.5501,1361.2127,13700
AU.NH,20110117,1359.4945,1372.0794,1373.7048,1358.0549,29224
AU.NH,20110114,1381.0885,1387.7757,1387.7757,1379.231,13170
AU.NH,20110113,1392.4196,1399.5711,1399.5711,1391.3515,14528
AU.NH,20110112,1398.0851,1397.6672,1399.1532,1395.0666,12144
AU.NH,20110111,1391.5837,1389.5404,1391.9088,1387.7293,12934
